"speaker","cleaned_text"
"teacher","yep got a story about student b and student p hold on a second yes ma am"
"student","inaudible other problem"
"teacher","which other problem"
"student","the one we were just doing"
"teacher","about what she was buying"
"student","yeah"
"teacher","look around the room just to make sure that you got everybody focusing on you cause i can see let s see very few people who are actually looking at you right now"
"student","i knew that it was addition because if you subtract it the number the bigger number from the smaller number you have to if you subtract it 57 95 from 12 65 you would get your answer but"
"teacher","subtract a big number from a small number think speak"
"student","cause you were to subtract 57 95 from"
"teacher","just take your time and think"
"student","if you subtract 12 65 from 57 95 it would be you could get there but you"
"teacher","you could get where"
"student","the answer but"
"teacher","could you"
"student","i need time to think"
"teacher","well i think that s when you re confused you think about it or write something down that ll help you doing a sketch helps you not to get confused it helps me yes sir"
"student","if they gave us like the amount of money that she had you could do subtraction"
"teacher","oh but they didn t give the amount of money she could spend they just gave us the items the cost of both items does that make sense student a is that what you re trying to say like student r was saying if they told us how much she was spending and they said one item is this how much is the other one something like that or how much change is she gonna get so it sound like one of those change problems"
"student","yeah"
"teacher","let s take a look at this one student b and student p one two three student b read 1 257 pages last summer student p read 945 pages during that same time how many pages did they read all together i want you to think talk with your group talk with your group"
"student","addition"
"teacher","so what are you guys thinking"
"student","it s addition all together"
"teacher","you have the word all together"
"student","1 257 plus 945 and then you have to figure out what the answer is and then you can label it what you need to"
"teacher","so what would the equation look like"
"student","1 257"
"teacher","nobody wrote down an equation and label it too so we can know what the numbers are let s make the equation or if you want to do the number line first that s okay"
"student","today is tuesday"
"student","yeah and today is tuesday inaudible"
"teacher","did you label it"
"student","why"
"teacher","remember an equation well we re not talking about this right now we re talking about math what do the numbers mean"
"student","how many pages they each read"
"teacher","so they both read those amounts of pages"
"student","no"
"teacher","so what is the 1 257 mean"
"student","how many pages student b read last summer"
"teacher","and the 945"
"student","how many pages student p read during the last summer"
"teacher","and student j we have the number line here i see answers on there we re not looking we don t we re just drawing what the story says right now"
"student","inaudible"
"teacher","so who hasn t given away a chip yet"
"student","i put my chip in"
"teacher","i got your chip"
"student","no this chip"
"teacher","that s white chip that s not math yes ma am so tell us about what you think tell us what your group was saying then no you weren t in that group"
"student","inaudible add"
"teacher","so your group s saying addition"
"student","yeah"
"teacher","so what did your group say about this problem were there some clue words that showed that it was addition"
"student","how many of the pages"
"teacher","how many pages any other words that your group came up for clue"
"student","all together"
"teacher","all together when the first time you heard the word all together"
"student","in first grade"
"teacher","in first grade"
"student","no but"
"teacher","is it usually mean"
"student","together when you put them close to each other very close"
"teacher","put them together all together you can go student l you can go it s time see him go so we re hearing the words all together could"
"student","how many"
"teacher","how many could this be a subtraction problem at all"
"student","no"
"student","yes wait"
"teacher","well it s either yes or no"
"multiple students","no"
"teacher","who s got an equation for student n did you toss your chip over here student a can you sit up please student a you need to sit up please student a you need to sit up please"
"student","i am sitting up"
"teacher","you re not you re not i m sorry put that in student l"
"student","945 pages plus something equals no plus 1 257"
"teacher","what made you change your mind"
"student","because you re doing you re putting them together"
"teacher","putting them together and that s addition equals so what does this number 945 what s it mean in this story student i"
"student","the pages maybe he read last summer"
"teacher","by whom either student p and what s the 1 257 student a"
"student","how many pages student b read"
"teacher","and what s the blank student e"
"student","like how many pages they read what is the answer"
"teacher","all together all together what would our number line our sketch look like student l"
"student","945"
"teacher","down on the left"
"student","yeah"
"teacher","or the right"
"student","left"
"teacher","left"
"student","inaudible"
"teacher","yes i think student e s trying to help you there"
"student","yeah i did it wrong"
"teacher","student e"
"student","1 257 inaudible"
"teacher","can i start with 945"
"multiple students","yes"
"teacher","what would i do next"
"student","add 1 257"
"teacher","how am i gonna do that on a number line"
"student","draw a big line and put plus 1 257"
"teacher","and what does this mean here what does this mean down here"
"student","inaudible"
"teacher","student a what does it mean can you pick on somebody who call on somebody who is actually paying attention you ll probably find lots"
"student","and the pages they read all together"
"teacher","the pages they read all together everybody agree"
"multiple students","yeah"
"teacher","so let s take a look at our list for a couple of seconds so we have addition words that use addition student a the list is over here addition words are how much more how many miles how much both items all together how many subtraction were more than or second day anybody think of any other words you ve seen in problems that have to tell you if it s addition or subtraction student j any other problem"
"student","how much"
"teacher","we ve got much up there many times other words that you ve had before in different problems that make you think it was addition or subtraction student a"
"student","what is the inaudible"
"student","for subtraction the difference"
"teacher","the difference so what is the difference between these two numbers difference"
"student","how about the sum"
"teacher","sometimes you might hear the sum do you hear it that much i don t know if i hear the difference or the sum but sometimes we do so what are some of these kind of things that would help you to know if it s an addition or subtraction problem think about all the things that we ve done today besides reading it very carefully which we should always do student r what are some of the things that would help us to know is this an addition problem or a subtraction problem"
"student","clues"
"teacher","like what kinda clues"
"student","like there was a different thing"
"teacher","so some of our words on our list what other kind of things would help you to decide if it s an addition problem or subtraction problem student a"
"student","mostly like the numbers"
"teacher","what about the numbers"
"student","inaudible"
"teacher","but this one has a four digit number and a three digit number and we decided it was addition so i don t think we can go by just the numbers student k"
"student","in all"
"teacher","in all what does that sound like"
"student","like all together"
"teacher","but what does that sound like addition or subtraction"
"student","addition"
"teacher","so we got words that help us decide if it s addition or subtraction but what else would help us to decide see a lot of people drawing on their notebooks lots of people and i ve seen lots of people doing it for a long time student l"
"student","i agree with student a on the numbers because if the four digit is more than the three digit then it s addition"
"teacher","always"
"student","not always"
"teacher","what if this problem was student p read 945 pages during the same time student b read 1 257 pages last summer how many pages did they read all together if i switch those two sentences around would it change the problem"
"student","no"
"student","yes"
"teacher","so what else you said yes student r how"
"student","we subtracted"
"teacher","student r said how many pages did they read all together"
"student","oh no no no i think inaudible"
"teacher","no i didn t change the last sentence at all what other kind of things help us to determine if our story is addition or subtraction student a think about the things we did"
"student","you know that chart we did about inaudible on multiplication i m talking about how to figure out if it s in multiplication it s like addition they tell you like the sizes of one other group and they don t total in addition they tell you two numbers and they tell you how many and all together or like something like that a clue or a word and how many"
"teacher","so let me get this right correct me if i m wrong but you re saying if they are looking for if they re asking in some way for a total that s going to be an addition problem and if they give us a total it s probably gonna be a subtraction problem"
"student","that s what i meant to say inaudible"
"teacher","that s what he was just saying but what else what else did we do i know we did some other things on each one of these that would help us to decide"
"student","clue words"
"teacher","something besides clue words yes ma am"
"student","inaudible and then inaudible"
"teacher","but what helps you get it we have clue words what else yes"
"student","what s the total because when we"
"teacher","those are still clue words yes"
"student","draw a sketching"
"teacher","drawing a sketch thank you if you have a sketch it is probably gonna help you to not be too confused"
"student","you re using one of the few"
"teacher","what s that definitely use so it s draw the sketch think about what the story cause i m looking at that one and it looks like i see somebody has 945 and they re adding 257 to get to another number that s even bigger that tells a story for me anybody questions or thoughts before we move on student l"
"student","do i get a few points"
"teacher","i told you i m really not worried about that but i already put yours in student a"
"student","inaudible asking you like how many are in between inaudible"
"teacher","oh look how the story would say how many between any of the stories we ve just read"
"student","yeah"
"teacher","like which one"
"student","the one like inaudible the money one"
"teacher","well the money one was this amount and this amount i put them together what was it about"
"student","inaudible"
"teacher","the one with this one"
"student","yeah"
"teacher","so we had a goal of how far we re gonna drive and we drove a certain amount one day but we need to find out how much we re gonna drive the second day cause we did decide that one could be either way"
"student","yes"
"student","no"
"teacher","i think we did i think we said we could take 1 087 and subtract 539 or we could start at 539 and add our way up so either way"
"student","inaudible"
"teacher","so you can use like landmark numbers"
"student","yeah"
"teacher","thank you guys you did a very nice job on that"
"teacher","let s take a look at the board up here and these are some of"
"student","a number that ends in a zero"
"teacher","only one of those numbers ends in a zero usually when we re talking about large numbers like hundreds and tens and thousandths they do end in zeros that s landmark in fractions there s some of them listed up there student k"
"student","a landmark is a number that you can add just to get to like so it can be easier to add"
"teacher","have we been adding fractions at all when we were adding we used landmarks but these landmarks zero one half one two what are they as far as being a landmark what did we use landmarks for when we were doing adding and subtracting"
"student","to get us close to 10"
"teacher","how did that help us"
"student","it s easier to get to tens when you add with the tens it s easier to subtract 10"
"teacher","what we re going to be doing is using fractions like one half a whole and one to make it easier to compare fractions let s look at the second part because this is something you guys will be doing also students will use the following vocabulary when comparing numerator denominator greater than less than equal to zero one half one whole two wholes so before we start this why don t we review a little bit of the fraction rules that we talked about yesterday the first one when we talked about a fraction being equal to zero what do we know it s up there yes sir"
"student","the numerator is zero"
"teacher","the numerator is always zero we have some examples how would i say this one everybody zero halves and zero sixths when we re talking about a fraction that s greater than zero but less than one half we know that it s greater than zero and we know the numerator is greater than zero and less than half the denominator is this numerator greater than zero"
"multiple students","yes"
"teacher","what about this one"
"multiple students","yes"
"teacher","okay in each case is the numerator less than half the denominator"
"multiple students","yes"
"teacher","what would half the denominator be"
"multiple students","4"
"teacher","is 3 less than that"
"multiple students","yes"
"teacher","what is the denominator 6 is 2 less than that it s greater than zero less than a half you have a question"
"student","yes you have a half right there"
"teacher","where we re not done with this one we re just doing this one we re going to get to half right now because this one says equal to one half numerator is half the denominator or the denominator is double the numerator we re saying the same thing there right okay how about this one is the numerator half of the denominator"
"student","yes"
"teacher","is the denominator double the numerator how about in this case yes so that s how we can see if the fraction is equal to or equivalent to one half this next part here announcement so the last one here you can barely see the greater than so greater than a half and less than one whole we know the numerator is greater than half the denominator and is less than the numerator what does that mean think about it student h"
"student","it means three fourths half of 4 is 2 and inaudible"
"teacher","so you talk about three fourths can you explain that"
"student","2 is half of 4"
"teacher","sorry wrong number there 2 would be half of 4"
"student","it s greater than half the denominator"
"teacher","it s the numerator is greater than half the denominator that would be a good example"
"student","or the denominator is double"
"teacher","we re done with this one here it s less than the denominator is the numerator less than the denominator"
"student","yes"
"teacher","same here"
"multiple students","yes"
"teacher","we just did that one how about this one is the numerator greater than half of the denominator what would be half of the denominator"
"multiple students","3"
"teacher","is the numerator greater than half of the denominator"
"multiple students","yes"
"teacher","is it less than the denominator"
"multiple students","no"
"teacher","really the denominator is 6 is 4 less than 6 yes it is let s look at this one what would be half of the denominator 4 is 5 greater than half of the denominator is it less is the 5 less than the denominator 5 is not less than 8 this one is a little tricky it s got a lot of words in there let s look at this one what would half of 3 be yes"
"student","one and a half"
"teacher","is 2 greater than one and a half"
"multiple students","yes"
"teacher","the second part says the numerator less than the denominator is 2 less than 3"
"multiple students","yes"
"teacher","the last one we re going to look at and move that little piece out of there when the fraction is equal to one whole the numerator and denominator are equal is that true here and here"
"multiple students","yes"
"teacher","that means it s one whole yes ma am"
"student","on the fourth whole"
"teacher","this one here greater than a half and less than a whole which one are you talking about"
"student","the fourth question"
"teacher","1 2 3 4 so greater than a half and less than a whole"
"student","how come the numerator is only one bigger than the half"
"teacher","on all of them"
"student","one those ones"
"teacher","can anybody think of something that would fit into this category the numerator is only one more than half let s think of a denominator eighths okay we have five eighths and student k was talking about four eighths would be a half and five eighths would be just one more eighth more than a half a half is four eighths can you think of an eighth that would be even bigger is that what you re talking about an eighth that would be even bigger"
"student","seven eighths"
"teacher","that would be bigger"
"student","eighth eighths"
"teacher","would that fit into this category though"
"student","no"
"teacher","why not"
"student","it s too big it equals one whole"
"teacher","can you think of i can think of one more"
"student","six eighths"
"teacher","all right so i m going to put these rules back up when we re playing the game so you can use this language to talk about when you re comparing fractions yes student j"
"student","i have a question on the last one the numerator and denominator are equal one whole plus one whole equals two wholes"
"teacher","that s not really what we were talking about but yeah it would yes"
"student","wasn t there one more explanation for one of them"
"teacher","what does equal two we re talking about things that are equal to two wholes you can add that up later on so numerator would be double if it was two wholes the numerator would be double can you give me an example"
"student","three sixths"
"teacher","three sixths"
"student","i mean six thirds"
"teacher","i m talking about thirds one third two thirds three thirds how many more thirds do i have to get to get six thirds three one thirds five thirds six thirds and is that two wholes"
"multiple students","yes"
"teacher","okay that would be a good one that might come into our game too student a"
"student","on the third one"
"teacher","about half"
"student","you can also tell that the numerator is half of the denominator"
"teacher","is that what you had"
"student","you can tell that because if you just add the numerator the answer will be the denominator"
"teacher","so like if i said 2 plus 2 is 4 yeah that s doubling yes"
"student","i noticed that if you do division and you use the larger number divided by the lowest number it equals"
"teacher","when you say largest number and lowest number what are you talking about"
"student","for three sixths you can do 6 divided by 3"
"teacher","so the numerator the denominator divided by what are you talking about use numerator and denominator to help me know what you re talking about"
"student","if you take the denominator and divide it by the numerator it will equal the numerator again"
"teacher","so the denominator divided by the numerator 6 divided by 3 okay doesn t work right one more so we can start the game"
"student","what if we have seven thirds"
"teacher","what about seven thirds"
"student","wouldn t it be like 2"
