obsid,video_id,year,n_rows,n_codeable_turns,n_teacher_turns,n_chars,shared_video_id,sha256
2996,701,2,86,86,57,11723,,30c4fa0046feff0d9e9579cf1562511808afa56e527e489c0cffbc60b68b64e7
2997,705,2,100,100,42,12966,,94ef5e4f3d7be66b4f4208781984053de8a7f9ea820bddeb539e1465c2b2e17f
3003,544,2,288,288,135,27486,,11037ac34a37f9cd7e2c2592ea56c5baea63bb997f6fe1ef9c6d9ca3f62e9ac0
3004,568,2,256,256,140,16522,,4f39749f00d9ef68759d53125b74da35b9b990bfd132b71d4b803e8927f0b945
3010,419,2,456,456,215,34302,,d4b180512b3cd3fea39e1a59d1f6ed6d4db8c65bdd26f1d9635bf829ba4af757
3011,453,2,352,352,182,28478,,f875a1d444964b1a6acb2a6fa84f9b2b299223b529f565e6bec0be39ac3694e2
3013,408,2,604,604,253,29418,,4605a59eba4bb260ab081f50bb9572295e62b170894b29ae72cf198d0e5a3556
3014,447,2,111,111,55,28190,,ace46aa445604a8645d622d0baddec7d5b79c9ec35d0823ff1f24c37555ec6c4
3015,450,2,639,639,284,32927,,fc38656cc0fffd8eaec3562ccafbd0d151aa0d6282c735631a378702b1cf211b
3016,418,2,128,128,63,25435,,3328beff6f87e70a2e5ba5d64bfcb10a53ffe47c73c820889beb3192252a71c0
3017,448,2,430,430,208,26752,,73c7130fbed62633442f90cc4dd76565d52e2fe88dbe6ae38ff1a94848bc2974
3018,430,2,157,157,76,17439,,89d99c85d8cddcd0c0696e88b63e2d25aa6253d871a3ee63cb2a3b7f5e499ac5
3019,458,2,659,659,316,40166,,f7a1445bdfc73aad64af08c44ebfc9cdcdb215e0d055763deec5138c62478416
3020,420,2,284,284,143,18763,,50766c63d241cfd34ebe47c92a37419f4b1b5601296c9916868d63f72a387025
3021,315,2,350,350,167,20589,,231864c4a15656662981739571b141a5e190fa3605e10f673b22d3c22db3b76d
3022,348,2,624,624,303,41839,,3d5fb1443cfad0b96d5a79c52dd1bf8109bed5a2950cf5399e2b37ebec9548f0
3025,726,2,190,190,94,23678,,1509247464b1977cca05562cb966170aaa66ed0ae9080bb6034bb9c139bd322e
3026,725,2,209,209,105,17518,,1787d9249f59faf69384f0d46178023471e2d1f2c6c24d27fa194f5d2f060595
3032,536,2,65,65,30,17959,,fe35494b0685bb8cf3c6fc029a62b82f5c2495ce3ae911a58fcad71b03a8306b
3033,559,2,412,412,200,33925,,170b5f13e7e6a539c5d6e23ec7228d2258ffe9684a644417d104c5598dfa5428
3034,543,2,155,155,75,14675,,d07a42eed043afe149ef3326221cef5679416b2e7abc2f9e6ae69dadb2db36ba
3035,511,2,128,128,62,15441,,193eb4006e117ff0ec8525a7bae173beed15a578367bcde4b625a4dcb00810c0
3036,739,2,89,89,47,34894,,8b241e67ed1deae584300bdce6641f825772fb39050f9801c1afceb85c600b6e
4001,770,3,836,836,335,33472,,4f5bf7e3780bb9ee2246f9726edb347cffd7b3d7839ee7488c86a820ffe61ac0
4002,781,3,157,157,79,32985,,8817a03a436fc9718c8856f084fae16dda541abc805102116493eaccd4976bd2
4003,772,3,90,90,52,24163,,85273360ef616aca3c504606adc6dac2a479e793ba1970c4bc9cabc8e3f6b0d1
4004,774,3,96,96,50,9597,,1ba0bc214a31c9f582798a076d2b228cd9ce08ad5b0639ba8f1ec07881134c6c
4005,806,3,279,279,133,38312,,2e16d47771e9d1b6136025f20eabbb10c0a8e9a155724051bd056a3258897173
4006,833,3,147,147,73,22094,,7a83b522e8f7e9acb1ff2b5b9e6a79dc6b39ed4e85429f13890f12d343559041
4007,723,3,259,259,127,20158,,a71b270644ef8a325e5e9f66e520757308ea70f573887eed256f25639fc38957
4008,730,3,151,151,75,20807,,0add0f88a256819c8633e70df8c8a11069c4fa0b951701ae8296604d321e596d
4009,708,3,230,230,141,18880,,8ea6e8e73ef0372222c21c17880eb1fcff006e20592413b9dd48d2ee48cf29cf
4010,703,3,85,85,46,16296,,02e0d06f5a94b36c0b4f8aad1fdc3b6c28b11d194afc258ea1f807b9fcc6c27f
4011,827,3,78,78,39,12958,,17cf63535d8a4f6425b8f09308d862809999a5ef7deaab54cd2b578daee63ac7
4012,701,3,138,138,68,19722,,cdba01bafd565b9f70969cbc3ed74b338b74b8e6da957224ea461a932da35852
4013,824,3,194,194,96,32270,,0fd5420e7ebf26f33f143ad04f9ddb3dd88721d45434acb97b384a26b8f4328f
4014,821,3,172,172,84,26754,,099299cb1eaef152d1c70dbfbddc885ce7dceee90b8295b131acfc885895ee4c
4015,826,3,293,293,143,36566,,9923871b7794887de00171691e2edb73c89a04d91fcefa7eff2e26ffe55c3ebd
4016,829,3,452,452,226,41465,,2fea0280f671deb82faa885e2a0333d6656f54f245732ad06f10f334ef223a49
4017,817,3,599,599,297,26907,,fc64ce5a26fb77c7a6669bd979f50395bafdf4718b0a245a8d90b06ead4fbbdc
4019,799,3,262,262,147,28735,,a69bb4eecbc7960825d8ad607bb228de648362f67fd45c4b31dbb64ad1215be2
4020,818,3,328,328,169,30530,,7d2151217ec69af701f924b41d666121427ca02fe455ae6dc148db46d55a1c98
4021,832,3,386,386,186,21262,,4b5c13d4a26bc491133029d2af35400828e5a98698c4687f355d3754dfffc798
4022,823,3,292,292,132,21802,,1bc76b9841c4afbabaf94f5effa5255b0f1c455570c8e139fba295faf3628863
4023,805,3,223,223,120,24832,,cd219dded0e71ae3d0d03d7b91ff0f8b9b6b4bdc2e545a5724eb66fc7c65c548
4024,811,3,251,251,122,18159,,795a5ed149ec985924ae55663d6bb88f846386a8cbb244163629a128996aefbf
4026,810,3,300,300,146,37641,,58a4c899a04b2c9fb957b26383536cac91145afce026d01e82ccc34da38bfdd1
4027,699,3,135,135,67,13725,,89afe640dd1d0dcff70c0eb1394eb20a23562c471059919f84ae5090de357a6f
4028,809,3,428,428,209,21085,,c566b34cbfe7385d42501884a3c231aac517a364918ea7b75a3bbbf077652e7b
4029,802,3,170,170,84,18094,,50a3994185413c48a50ae94862d6a2aa927883a5f6b0b18f1ad60dfe50abbe8d
4031,804,3,165,165,82,17577,,0b4edab5bd963a98c39c7f0fa0e31e042455260fe9b977e21a22204c69a57f11
4032,816,3,189,189,94,33516,,5cc8635a093c654d4879080bebb1bf739ae703ea16f40d86951d769e86f3c797
4033,792,3,187,187,93,18988,,e90c100f547224d236f774216dd3c1c478e953b7585655d91f4f9655f47d5090
4034,815,3,559,559,263,25734,,5d40c5827207300cfb5b3889ace702deafde7015870473e1ca25fccc28493a33
4035,764,3,314,314,150,16911,,2941ee1968842c2f6b54c281dccd6a0bb97ceacfe1e84cc377dee17572e7f00a
4036,766,3,135,135,68,19637,,29b9076f31867ce50c65c34a0e7f15b394bcd6700d08eff8c0bd7dafb83deb77
